1,Brighton and Hove Albion,4-5-1,Manchester City,4-4-1-1,1,4,2018/19,Premier League
2,Burnley,4-4-2,Arsenal,4-2-3-1,1,3,2018/19,Premier League
3,Crystal Palace,4-4-2,AFC Bournemouth,4-4-1-1,5,3,2018/19,Premier League
4,Fulham,4-2-3-1,Newcastle United,5-4-1,0,4,2018/19,Premier League
5,Leicester City,4-1-4-1,Chelsea,4-3-3,0,0,2018/19,Premier League
6,Liverpool,4-3-3,Wolverhampton Wanderers,3-5-2,2,0,2018/19,Premier League
7,Manchester United,4-3-1-2,Cardiff City,4-4-1-1,0,2,2018/19,Premier League
8,Southampton,4-4-2,Huddersfield Town,4-3-3,1,1,2018/19,Premier League
9,Tottenham Hotspur,4-2-3-1,Everton,4-2-3-1,2,2,2018/19,Premier League
10,Watford,4-2-2-2,West Ham United,4-1-4-1,1,4,2018/19,Premier League
11,Manchester City,4-3-3,Leicester City,4-5-1,1,0,2018/19,Premier League
12,Chelsea,4-3-3,Watford,4-2-2-2,3,0,2018/19,Premier League
13,Huddersfield Town,4-3-3,Manchester United,4-3-1-2,1,1,2018/19,Premier League
14,Arsenal,4-3-1-2,Brighton and Hove Albion,4-5-1,1,1,2018/19,Premier League
15,AFC Bournemouth,4-4-1-1,Tottenham Hotspur,4-2-3-1,1,0,2018/19,Premier League
16,West Ham United,4-1-4-1,Southampton,4-4-2,3,0,2018/19,Premier League
17,Wolverhampton Wanderers,3-5-2,Fulham,5-3-2,1,0,2018/19,Premier League
18,Cardiff City,4-4-1-1,Crystal Palace,4-4-2,2,3,2018/19,Premier League
19,Newcastle United,5-4-1,Liverpool,4-3-3,2,3,2018/19,Premier League
20,Everton,4-2-3-1,Burnley,4-4-2,2,0,2018/19,Premier League
21,Leicester City,4-1-4-1,Arsenal,4-4-2,3,0,2018/19,Premier League
22,Burnley,4-4-2,Manchester City,4-3-3,0,1,2018/19,Premier League
23,Manchester United,4-3-1-2,Chelsea,4-3-3,1,1,2018/19,Premier League
24,Tottenham Hotspur,4-1-2-1-2,West Ham United,4-1-4-1,0,1,2018/19,Premier League
25,Crystal Palace,4-4-2,Everton,4-2-3-1,0,0,2018/19,Premier League
