1,Leicester City,1,2015/16,Premier League
2,Arsenal,2,2015/16,Premier League
3,Tottenham Hotspur,3,2015/16,Premier League
4,Manchester City,4,2015/16,Premier League
5,Manchester United,5,2015/16,Premier League
6,Southampton,6,2015/16,Premier League
7,West Ham United,7,2015/16,Premier League
8,Liverpool,8,2015/16,Premier League
9,Stoke City,9,2015/16,Premier League
10,Chelsea,10,2015/16,Premier League
11,Everton,11,2015/16,Premier League
12,Swansea City,12,2015/16,Premier League
13,Watford,13,2015/16,Premier League
14,West Bromwich Albion,14,2015/16,Premier League
15,Crystal Palace,15,2015/16,Premier League
16,AFC Bournemouth,16,2015/16,Premier League
17,Sunderland,17,2015/16,Premier League
18,Newcastle United,18,2015/16,Premier League
19,Norwich City,19,2015/16,Premier League
20,Aston Villa,20,2015/16,Premier League
21,Chelsea,1,2016/17,Premier League
22,Tottenham Hotspur,2,2016/17,Premier League
23,Manchester City,3,2016/17,Premier League
24,Liverpool,4,2016/17,Premier League
25,Arsenal,5,2016/17,Premier League
26,Manchester United,6,2016/17,Premier League
27,Everton,7,2016/17,Premier League
28,Southampton,8,2016/17,Premier League
29,AFC Bournemouth,9,2016/17,Premier League
30,West Bromwich Albion,10,2016/17,Premier League
31,West Ham United,11,2016/17,Premier League
32,Leicester City,12,2016/17,Premier League
33,Stoke City,13,2016/17,Premier League
34,Crystal Palace,14,2016/17,Premier League
35,Swansea City,15,2016/17,Premier League
36,Burnley,16,2016/17,Premier League
37,Watford,17,2016/17,Premier League
38,Hull City,18,2016/17,Premier League
39,Middlesbrough,19,2016/17,Premier League
40,Sunderland,20,2016/17,Premier League
104,Manchester City,1,2017/18,Premier League
105,Manchester United,2,2017/18,Premier League
106,Tottenham Hotspur,3,2017/18,Premier League
107,Liverpool,4,2017/18,Premier League
108,Chelsea,5,2017/18,Premier League
109,Arsenal,6,2017/18,Premier League
110,Burnley,7,2017/18,Premier League
111,Everton,8,2017/18,Premier League
112,Leicester City,9,2017/18,Premier League
113,Newcastle United,10,2017/18,Premier League
114,Crystal Palace,11,2017/18,Premier League
115,AFC Bournemouth,12,2017/18,Premier League
116,West Ham United,13,2017/18,Premier League
117,Watford,14,2017/18,Premier League
118,Brighton and Hove Albion,15,2017/18,Premier League
119,Huddersfield Town,16,2017/18,Premier League
120,Southampton,17,2017/18,Premier League
121,Swansea City,18,2017/18,Premier League
122,Stoke City,19,2017/18,Premier League
123,West Bromwich Albion,20,2017/18,Premier League
200,Manchester City,1,2018/19,Premier League
201,Liverpool,2,2018/19,Premier League
202,Chelsea,3,2018/19,Premier League
203,Tottenham Hotspur,4,2018/19,Premier League
204,Arsenal,5,2018/19,Premier League
205,Manchester United,6,2018/19,Premier League
206,Wolverhampton Wanderers,7,2018/19,Premier League
207,Everton,8,2018/19,Premier League
208,Leicester City,9,2018/19,Premier League
209,West Ham United,10,2018/19,Premier League
210,Watford,11,2018/19,Premier League
211,Crystal Palace,12,2018/19,Premier League
212,Newcastle United,13,2018/19,Premier League
213,AFC Bournemouth,14,2018/19,Premier League
214,Burnley,15,2018/19,Premier League
215,Southampton,16,2018/19,Premier League
216,Brighton and Hove Albion,17,2018/19,Premier League
217,Cardiff City,18,2018/19,Premier League
218,Fulham,19,2018/19,Premier League
219,Huddersfield Town,20,2018/19,Premier League
